# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
16100.0 10509 -8.042 62.251 0.961 60.974 19.47 19.17 16.05 846.3 811.9 829.1 0.1404 0.1761 0.1582 374.3
16200.0 10513 -7.230 60.662 3.107 59.554 16.17 15.97 15.88 813.5 784.1 798.8 0.05111 0.05554 0.05333 374
16300.0 10514 -6.682 60.850 4.605 59.852 17.1 16.85 15.84 817.5 790.9 804.2 -0.08309 -0.09912 -0.09111 372.7
16400.0 10502 -6.815 62.945 5.667 61.562 21.93 21.44 16.04 858.6 821.3 839.9 -0.1867 -0.1851 -0.1859 372.1
16500.0 10478 -7.804 65.109 5.871 63.585 27.37 26.9 16.44 892.7 851.5 872.1 -0.1372 -0.1542 -0.1457 372.3
16600.0 10461 -9.197 64.124 5.296 63.852 28.8 28.91 15.84 898.5 890.9 894.7 0.04435 -0.01452 0.01492 372.9
16700.0 10458 -9.990 62.312 4.217 62.853 26.01 26.2 15.61 861.8 876.9 869.4 0.1863 0.1376 0.162 372.3
16800.0 10463 -10.130 60.475 3.394 60.521 20.82 20.71 15.42 825.9 827.2 826.5 0.1836 0.1757 0.1797 372.4
16900.0 10465 -9.728 59.460 3.767 59.561 16.45 16.58 15.48 797.6 800.3 799 0.06849 0.07001 0.06925 372.2
17000.0 10462 -9.030 59.806 5.109 59.677 15.6 15.81 15.49 804.6 801.2 802.9 -0.07221 -0.07542 -0.07382 371.1
17100.0 10460 -7.500 61.463 7.156 61.578 19.01 19.29 15.62 838.1 841.2 839.6 -0.1595 -0.1764 -0.1679 370.2
17200.0 10429 -4.933 62.602 9.315 63.556 23.65 23.98 15.59 868.7 895.4 882 -0.1063 -0.1537 -0.13 370.7
17300.0 10413 -1.115 62.702 10.263 63.789 25.67 25.77 15.48 877.6 908.2 892.9 0.04042 0.02106 0.03074 371.3
17400.0 10413 2.564 62.303 9.392 63.624 23.65 23.68 16.04 836.2 872 854.1 0.1452 0.1666 0.1559 370.6
17500.0 10418 5.230 60.586 7.471 60.576 18.99 18.69 15.64 814.5 814.3 814.4 0.1476 0.1942 0.1709 370.6
17600.0 10415 6.542 59.023 5.603 58.954 15.77 15.53 15.46 784.3 782.5 783.4 0.05265 0.08032 0.06648 370.5
17700.0 10406 7.295 59.225 4.431 59.208 16.52 16.44 15.44 787.5 787 787.2 -0.08551 -0.07975 -0.08263 369.4
17800.0 10393 7.845 60.687 4.238 60.820 20.75 20.9 15.46 821.4 825 823.2 -0.1659 -0.1842 -0.175 368.9
17900.0 10365 8.239 62.095 4.836 62.559 25.57 26.01 15.32 865.4 878.4 871.9 -0.118 -0.1685 -0.1432 369.3
18000.0 10362 8.068 62.665 5.960 63.489 27.71 28.43 15.47 870.8 893.9 882.4 0.05653 -0.01761 0.01946 369.6
18100.0 10360 7.320 61.287 6.747 62.087 25.27 25.5 15.21 847.9 870.2 859.1 0.2132 0.1441 0.1786 369
18200.0 10359 6.829 59.293 6.931 60.677 20.19 20.5 15.31 792.7 830.1 811.4 0.1933 0.1767 0.185 369.1
18300.0 10361 6.929 58.159 6.164 59.436 16.12 16.41 15.32 764.4 798.3 781.3 0.0636 0.07645 0.07002 368.9
18400.0 10355 7.770 58.243 4.656 59.168 15.37 15.6 15.26 768.1 792.7 780.4 -0.09066 -0.05881 -0.07473 367.9
18500.0 10349 8.824 60.087 2.142 60.515 18.62 18.82 15.36 808.2 819.7 814 -0.1976 -0.1467 -0.1721 367.2
18600.0 10325 9.097 61.736 -1.520 61.941 23 23.39 15.26 855.9 861.5 858.7 -0.1694 -0.1022 -0.1358 367.7
18700.0 10316 7.774 62.759 -5.172 62.301 25.07 25.53 15.34 879.1 866.3 872.7 -0.00659 0.0475 0.02045 368.1
18800.0 10312 5.210 61.057 -7.722 60.956 22.59 23 15.21 840.2 837.4 838.8 0.1665 0.1708 0.1687 367.5
18900.0 10321 2.374 59.332 -8.964 59.485 18.47 18.5 15.3 791.5 795.6 793.5 0.169 0.174 0.1715 367.5
19000.0 10325 0.260 58.126 -9.431 58.357 15.54 15.5 15.31 761.2 767.3 764.3 0.06289 0.04674 0.05481 367.5
19100.0 10322 -1.035 58.322 -9.701 58.604 16.3 16.14 15.27 765.3 772.7 769 -0.08239 -0.1065 -0.09446 366.4
19200.0 10317 -1.349 60.110 -10.315 60.439 20.5 20.41 15.33 805.4 814.2 809.8 -0.1774 -0.202 -0.1897 365.7
19300.0 10293 -0.581 61.351 -11.190 62.013 25.1 25.34 15.02 852.9 871.4 862.2 -0.1317 -0.1758 -0.1538 365.9
19400.0 10284 1.159 62.394 -11.850 62.590 27.5 27.42 15.25 867.9 873.3 870.6 0.02004 0.0004787 0.01026 366.4
